Column1;ROBOT B4;_1
2149;SR_SOUDER; lspac002883600
2150;SR_SOUDER; lspac002883700
2154;SR_SOUDER; lspac002883800
2155;SR_SOUDER; lspac002883900
2160;SR_SOUDER; lspac002884000
2165;SR_SOUDER; lspac002884100
2166;SR_SOUDER; lspac002884200
2170;SR_SOUDER; lspac002884300
2171;SR_SOUDER; lscs2002858000
2172;SR_SOUDER; lscs2004621900
2198;SR_SOUDER; SCSDD010167
2203;SR_SOUDER; SCSDD010165
2204;SR_SOUDER; SCSCD010317
2205;SR_SOUDER; SCSCD010318
2206;SR_SOUDER; SCSCD010331
2207;SR_SOUDER; SCSCD010319
2208;SR_SOUDER; SCSCD010320
2209;SR_SOUDER; SCSCD010321
2210;SR_SOUDER; SCSCD010322
2211;SR_SOUDER; SCSCD010310
2212;SR_SOUDER; SCSCD010311
2213;SR_SOUDER; SCSCD010312
2214;SR_SOUDER; SCSCD010330
2215;SR_SOUDER; SCSCD010313
2216;SR_SOUDER; SCSCD010314
2217;SR_SOUDER; SCSDD010166
2230;SR_SOUDER; SCSCD009469
2231;SR_SOUDER; SCSCD009472
2276;SR_SOUDER; SCS2D035686_L2H2
2277;SR_SOUDER; SCSCD009431_L2H2
2278;SR_SOUDER; SCSCD009433_L2H2
2279;SR_SOUDER; SCSCD009430_L2H2
2280;SR_SOUDER; SCSCD009432_L2H2
2281;SR_SOUDER; SCS1D035684_L2H2
2326;SR_SOUDER; SCSCD009369_L2H2
2327;SR_SOUDER; SCS2D011237_L2H2
2337;SR_SOUDER; SCSCD009480_L2H2
2338;SR_SOUDER; SCSCD009487_L2H2
2339;SR_SOUDER; SCSCD009486_L2H2
2340;SR_SOUDER; SCSCD009485_L2H2
2341;SR_SOUDER; SCSCD009482_L2H2
2342;SR_SOUDER; SCSCD009481_L2H2
2343;SR_SOUDER; SCSCD009483_L2H2
2344;SR_SOUDER; SCSCD009484_L2H2
2345;SR_SOUDER; SCSCD009477_L2H2
2360;SR_SOUDER; SCS2D010234_L2H2
2364;SR_SOUDER; SCSCD009429_L2H2
2365;SR_SOUDER; SCSCD009427_L2H2
2366;SR_SOUDER; SCSCD009434_L2H2
2367;SR_SOUDER; SCSCD009428_L2H2
2368;SR_SOUDER; SCSCD009422_L2H2
2369;SR_SOUDER; SCSCD009421_L2H2
2370;SR_SOUDER; SCSCD009426_L2H2
2371;SR_SOUDER; SCS1D035683_L2H2_
2375;SR_SOUDER; SCS1D009539_L2H2
2376;SR_SOUDER; SCS1D009551_L2H2
2377;SR_SOUDER; SCS1D009540_L2H2
2378;SR_SOUDER; SCS1D009541_L2H2
2379;SR_SOUDER; SCS1D009542_L2H2
2383;SR_SOUDER; SCSCD009372_L2H2
2384;SR_SOUDER; SCSCD009361_L2H2
2385;SR_SOUDER; SCSCD009374_L2H2
2386;SR_SOUDER; SCSCD009373_L2H2
2391;SR_SOUDER; SCSCD009363_L2H2
2392;SR_SOUDER; SCSCD009362_L2H2
2393;SR_SOUDER; SCSCD009370_L2H2
2394;SR_SOUDER; SCSCD009360_L2H2
2395;SR_SOUDER; SCSCD009358_L2H2
2396;SR_SOUDER; SCS1D011234_L2H2
2401;SR_SOUDER; SCS1D009546_L2H2
2405;SR_SOUDER; SCS1D009547_L2H2
2406;SR_SOUDER; SCS1D009548_L2H2
2407;SR_SOUDER; SCS1D009549_L2H2
2408;SR_SOUDER; SCS1D009553_L2H2
2409;SR_SOUDER; SCS1D009552_L2H2
2414;SR_SOUDER; SCS1D009927_L2H2
2419;SR_SOUDER; SCSCD009418_L2H2
2420;SR_SOUDER; SCSCD009400_L2H2
2421;SR_SOUDER; SCSCD009398_L2H2
2422;SR_SOUDER; SCSCD009408_L2H2
2423;SR_SOUDER; SCSCD009416_L2H2
2424;SR_SOUDER; SCSCD009406_L2H2
2425;SR_SOUDER; SCSCD009414_L2H2
2426;SR_SOUDER; SCSCD009404_L2H2
2427;SR_SOUDER; SCSCD009412_L2H2
2437;SR_SOUDER; SCSCD009410_L2H2
2445;SR_SOUDER; SCSCD009396_L2H2
2446;SR_SOUDER; SCSCD009402_L2H2
2447;SR_SOUDER; SCSCD009420_L2H2
2452;SR_SOUDER; SCSCD009382_L2H2
2453;SR_SOUDER; SCSCD009384_L2H2
2454;SR_SOUDER; SCSCD009394_L2H2
2455;SR_SOUDER; SCSCD009378_L2H2
2464;SR_SOUDER; SCSCD009386_L2H2
2465;SR_SOUDER; SCSCD009380_L2H2
2466;SR_SOUDER; SCSCD009392_L2H2
2467;SR_SOUDER; SCSCD009388_L2H2
2468;SR_SOUDER; SCSCD009390_L2H2
2469;SR_SOUDER; SCSGD010159_L2H2
2470;SR_SOUDER; SCS1D010180_L2H2
2488;SR_SOUDER; SCS1D009550_L2H2
2492;SR_SOUDER; SCSCD009359_L2H2
2493;SR_SOUDER; SCS1D011235_L2H2
2494;SR_SOUDER; SCS1D009545_L2H2
2495;SR_SOUDER; SCS1D009544_L2H2
2496;SR_SOUDER; SCS1D009543_L2H2
2538;SR_SOUDER; p_repli
2559;SR_SOUDER; p_reb_prg
